"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Grossman, Robbie","543257","2022","477","286",0.209,0.205,0.0040000000000000036,0.311,0.305,0.006000000000000005,0.283,0.281,0.0019999999999999463
"Reyes, Franmil","614177","2022","473","284",0.221,0.203,0.017999999999999988,0.365,0.358,0.007000000000000006,0.28,0.275,0.0050000000000000044
"Perez, Salvador","521692","2022","473","339",0.254,0.242,0.01200000000000001,0.465,0.47,-0.004999999999999949,0.324,0.323,0.0010000000000000009
"Miller, Owen","680911","2022","472","340",0.243,0.246,-0.0030000000000000027,0.351,0.341,0.009999999999999953,0.287,0.291,-0.0040000000000000036
"Odor, Rougned","596059","2022","472","321",0.207,0.207,0,0.357,0.339,0.01799999999999996,0.278,0.277,0.0010000000000000009
"Urías, Luis","649966","2022","472","312",0.239,0.238,0.0010000000000000009,0.404,0.398,0.006000000000000005,0.327,0.326,0.0010000000000000009
"Lux, Gavin","666158","2022","471","329",0.276,0.247,0.029000000000000026,0.399,0.372,0.027000000000000024,0.328,0.314,0.014000000000000012
"Sánchez, Gary","596142","2022","471","288",0.205,0.22,-0.015000000000000013,0.377,0.439,-0.062,0.29,0.321,-0.031000000000000028
"Rutschman, Adley","668939","2022","470","315",0.254,0.248,0.006000000000000005,0.445,0.411,0.03400000000000003,0.354,0.342,0.011999999999999955
"Cooper, Garrett","643265","2022","469","300",0.261,0.26,0.0010000000000000009,0.415,0.436,-0.02100000000000002,0.33,0.341,-0.01100000000000001
"Donovan, Brendan","680977","2022","468","324",0.281,0.266,0.015000000000000013,0.379,0.365,0.014000000000000012,0.349,0.339,0.009999999999999953
"Candelario, Jeimer","600869","2022","467","324",0.217,0.228,-0.01100000000000001,0.361,0.379,-0.018000000000000016,0.277,0.292,-0.014999999999999958
"Iglesias, Jose","578428","2022","467","386",0.292,0.266,0.025999999999999968,0.38,0.323,0.056999999999999995,0.312,0.281,0.030999999999999972
"Joe, Connor","656582","2022","467","308",0.238,0.241,-0.0030000000000000027,0.359,0.34,0.01899999999999996,0.314,0.311,0.0030000000000000027
"Stott, Bryson","681082","2022","466","340",0.234,0.237,-0.002999999999999975,0.358,0.34,0.01799999999999996,0.289,0.284,0.0050000000000000044
"Walls, Taylor","670764","2022","466","291",0.172,0.196,-0.02400000000000002,0.285,0.304,-0.019000000000000017,0.252,0.27,-0.018000000000000016
"Vogelbach, Daniel","596129","2022","461","273",0.238,0.236,0.0020000000000000018,0.433,0.428,0.0050000000000000044,0.349,0.35,-0.0010000000000000009
"Marsh, Brandon","669016","2022","461","272",0.245,0.226,0.01899999999999999,0.384,0.372,0.01200000000000001,0.296,0.287,0.009000000000000008
"Crawford, Brandon","543063","2022","458","313",0.231,0.217,0.014000000000000012,0.344,0.339,0.004999999999999949,0.289,0.287,0.0020000000000000018
"Taylor, Michael A.","572191","2022","456","310",0.254,0.223,0.031,0.357,0.358,-0.0010000000000000009,0.297,0.289,0.008000000000000007
"Taylor, Chris","621035","2022","454","245",0.221,0.195,0.025999999999999995,0.373,0.34,0.032999999999999974,0.298,0.277,0.020999999999999963
"Walsh, Jared","665120","2022","454","285",0.215,0.221,-0.006000000000000005,0.374,0.368,0.006000000000000005,0.278,0.28,-0.0020000000000000018
"Hicks, Aaron","543305","2022","453","278",0.216,0.218,-0.0020000000000000018,0.313,0.336,-0.02300000000000002,0.292,0.303,-0.01100000000000001
"Stanton, Giancarlo","519317","2022","452","264",0.211,0.24,-0.028999999999999998,0.462,0.474,-0.011999999999999955,0.327,0.35,-0.022999999999999965
"Heim, Jonah","641680","2022","450","321",0.227,0.224,0.0030000000000000027,0.399,0.361,0.038000000000000034,0.306,0.291,0.015000000000000013
"Suzuki, Seiya","673548","2022","446","290",0.262,0.247,0.015000000000000013,0.433,0.418,0.015000000000000013,0.334,0.326,0.008000000000000007
"Kepler, Max","596146","2022","446","326",0.227,0.266,-0.03900000000000001,0.348,0.412,-0.064,0.298,0.338,-0.040000000000000036
"Urías, Ramón","602104","2022","445","312",0.248,0.25,-0.0020000000000000018,0.414,0.42,-0.006000000000000005,0.313,0.32,-0.007000000000000006
"Polanco, Jorge","593871","2022","445","284",0.235,0.248,-0.013000000000000012,0.405,0.451,-0.045999999999999985,0.333,0.358,-0.024999999999999967
"Gordon, Nick","624503","2022","443","309",0.272,0.261,0.01100000000000001,0.427,0.464,-0.03700000000000003,0.321,0.333,-0.01200000000000001
"Castro, Harold","605612","2022","443","346",0.271,0.275,-0.0040000000000000036,0.381,0.423,-0.04199999999999998,0.297,0.316,-0.019000000000000017
"Harris II, Michael","671739","2022","441","308",0.297,0.268,0.02899999999999997,0.514,0.46,0.05399999999999999,0.368,0.335,0.032999999999999974
"Ramírez, Harold","623912","2022","435","335",0.3,0.275,0.024999999999999967,0.404,0.382,0.02200000000000002,0.327,0.31,0.017000000000000015
"Cabrera, Miguel","408234","2022","433","301",0.254,0.234,0.01999999999999999,0.317,0.331,-0.014000000000000012,0.275,0.275,0
"Tapia, Raimel","606132","2022","433","334",0.265,0.256,0.009000000000000008,0.38,0.366,0.014000000000000012,0.293,0.286,0.007000000000000006
"Ruiz, Keibert","660688","2022","433","347",0.251,0.277,-0.026000000000000023,0.36,0.403,-0.04300000000000004,0.299,0.328,-0.029000000000000026
"Pederson, Joc","592626","2022","433","284",0.274,0.266,0.008000000000000007,0.521,0.502,0.019000000000000017,0.373,0.367,0.006000000000000005
"Moncada, Yoán","660162","2022","433","285",0.212,0.22,-0.008000000000000007,0.353,0.375,-0.02200000000000002,0.275,0.289,-0.013999999999999957
"India, Jonathan","663697","2022","431","292",0.249,0.238,0.01100000000000001,0.378,0.353,0.025000000000000022,0.314,0.301,0.013000000000000012
"Harper, Bryce","547180","2022","426","290",0.286,0.288,-0.0020000000000000018,0.514,0.527,-0.013000000000000012,0.369,0.38,-0.01100000000000001
"d'Arnaud, Travis","518595","2022","426","306",0.268,0.247,0.02100000000000002,0.472,0.412,0.06,0.343,0.313,0.030000000000000027
"Vázquez, Christian","543877","2022","426","332",0.274,0.262,0.01200000000000001,0.399,0.375,0.02400000000000002,0.312,0.301,0.01100000000000001
"Chavis, Michael","656308","2022","426","279",0.229,0.217,0.01200000000000001,0.389,0.336,0.05299999999999999,0.282,0.261,0.020999999999999963
"Morel, Christopher","666624","2022","425","247",0.235,0.233,0.001999999999999974,0.433,0.435,-0.0020000000000000018,0.322,0.324,-0.0020000000000000018
"Harrison, Josh","543281","2022","425","319",0.256,0.233,0.022999999999999993,0.37,0.335,0.034999999999999976,0.305,0.284,0.02100000000000002
"Calhoun, Kole","594777","2022","424","255",0.196,0.223,-0.026999999999999996,0.33,0.382,-0.05199999999999999,0.26,0.294,-0.033999999999999975
"Gamel, Ben","592325","2022","423","274",0.232,0.244,-0.011999999999999983,0.369,0.372,-0.0030000000000000027,0.308,0.316,-0.008000000000000007
"Senzel, Nick","669222","2022","420","300",0.231,0.249,-0.017999999999999988,0.306,0.355,-0.04899999999999999,0.272,0.299,-0.02699999999999997
"Choi, Ji Man","596847","2022","419","236",0.233,0.236,-0.002999999999999975,0.388,0.413,-0.024999999999999967,0.322,0.337,-0.015000000000000013
"Hosmer, Eric","543333","2022","419","317",0.268,0.258,0.010000000000000009,0.382,0.379,0.0030000000000000027,0.313,0.311,0.0020000000000000018
"Greene, Riley","682985","2022","418","259",0.253,0.246,0.007000000000000006,0.362,0.388,-0.026000000000000023,0.303,0.316,-0.013000000000000012
"Raleigh, Cal","663728","2022","415","253",0.211,0.216,-0.0050000000000000044,0.489,0.461,0.02799999999999997,0.33,0.324,0.006000000000000005
"Thomas, Alek","677950","2022","411","312",0.231,0.238,-0.0069999999999999785,0.344,0.335,0.008999999999999952,0.272,0.277,-0.0050000000000000044
"Sheets, Gavin","657757","2022","410","294",0.241,0.224,0.016999999999999987,0.411,0.359,0.05199999999999999,0.308,0.283,0.025000000000000022
"Gallo, Joey","608336","2022","410","188",0.16,0.167,-0.007000000000000006,0.357,0.371,-0.014000000000000012,0.286,0.294,-0.008000000000000007
"Daza, Yonathan","602074","2022","408","320",0.301,0.282,0.019000000000000017,0.384,0.351,0.03300000000000003,0.323,0.308,0.015000000000000013
"McCormick, Chas","676801","2022","407","254",0.245,0.232,0.012999999999999984,0.407,0.414,-0.007000000000000006,0.326,0.325,0.0010000000000000009
"Robles, Victor","645302","2022","407","277",0.224,0.203,0.02099999999999999,0.311,0.28,0.030999999999999972,0.26,0.244,0.016000000000000014
"Taylor, Tyrone","621438","2022","405","274",0.233,0.236,-0.002999999999999975,0.442,0.412,0.030000000000000027,0.314,0.307,0.007000000000000006
"Berti, Jon","542932","2022","404","270",0.24,0.236,0.0040000000000000036,0.338,0.358,-0.019999999999999962,0.298,0.306,-0.008000000000000007
"Torkelson, Spencer","679529","2022","404","263",0.203,0.223,-0.01999999999999999,0.319,0.374,-0.05499999999999999,0.272,0.302,-0.02999999999999997
"Hernández, Enrique","571771","2022","402","294",0.222,0.238,-0.015999999999999986,0.338,0.357,-0.01899999999999996,0.28,0.297,-0.01699999999999996
"Robert Jr., Luis","673357","2022","401","304",0.284,0.272,0.011999999999999955,0.426,0.449,-0.02300000000000002,0.324,0.327,-0.0030000000000000027
"Nola, Austin","543592","2022","397","297",0.251,0.256,-0.0050000000000000044,0.329,0.351,-0.021999999999999964,0.29,0.305,-0.015000000000000013
"Story, Trevor","596115","2022","396","239",0.238,0.221,0.016999999999999987,0.434,0.397,0.03699999999999998,0.316,0.301,0.015000000000000013
"Castro, Willi","650489","2022","392","287",0.241,0.261,-0.020000000000000018,0.367,0.339,0.02799999999999997,0.285,0.29,-0.0050000000000000044
"Ruf, Darin","573131","2022","388","232",0.204,0.219,-0.015000000000000013,0.338,0.371,-0.032999999999999974,0.291,0.31,-0.019000000000000017
"Franco, Maikel","596748","2022","388","299",0.229,0.243,-0.013999999999999985,0.342,0.351,-0.008999999999999952,0.261,0.272,-0.01100000000000001
"Segura, Jean","516416","2022","387","297",0.277,0.254,0.02300000000000002,0.387,0.363,0.02400000000000002,0.32,0.303,0.017000000000000015
"Stallings, Jacob","607732","2022","384","266",0.223,0.221,0.0020000000000000018,0.292,0.312,-0.020000000000000018,0.265,0.274,-0.009000000000000008
"O'Neill, Tyler","641933","2022","383","238",0.228,0.24,-0.011999999999999983,0.392,0.423,-0.030999999999999972,0.307,0.331,-0.02400000000000002
"Laureano, Ramón","657656","2022","383","242",0.211,0.219,-0.008000000000000007,0.376,0.402,-0.026000000000000023,0.294,0.307,-0.013000000000000012
"Anderson, Brian","605119","2022","383","238",0.222,0.229,-0.007000000000000006,0.346,0.379,-0.03300000000000003,0.293,0.309,-0.016000000000000014
"Gonzalez, Oscar","660757","2022","382","289",0.296,0.279,0.01699999999999996,0.461,0.422,0.039000000000000035,0.339,0.32,0.019000000000000017
"Buxton, Byron","621439","2022","382","225",0.224,0.242,-0.017999999999999988,0.526,0.509,0.017000000000000015,0.356,0.358,-0.0020000000000000018
"Paredes, Isaac","670623","2022","381","266",0.205,0.21,-0.0050000000000000044,0.435,0.348,0.08700000000000002,0.323,0.297,0.026000000000000023
"Díaz, Elias","553869","2022","381","272",0.228,0.222,0.006000000000000005,0.368,0.339,0.02899999999999997,0.284,0.274,0.009999999999999953
"García, Avisaíl","541645","2022","380","250",0.224,0.23,-0.006000000000000005,0.317,0.366,-0.04899999999999999,0.258,0.281,-0.02300000000000002
"Maldonado, Martín","455117","2022","379","234",0.186,0.181,0.0050000000000000044,0.352,0.325,0.02699999999999997,0.264,0.253,0.01100000000000001
"Pinder, Chad","640461","2022","379","246",0.235,0.235,0,0.385,0.38,0.0050000000000000044,0.281,0.28,0.0010000000000000009
"García Jr., Luis","671277","2022","377","281",0.275,0.26,0.015000000000000013,0.408,0.409,-0.0010000000000000009,0.303,0.305,-0.0020000000000000018
"Contreras, William","661388","2022","376","232",0.278,0.243,0.03500000000000003,0.506,0.479,0.027000000000000024,0.37,0.347,0.02300000000000002
"Votto, Joey","458015","2022","376","225",0.205,0.218,-0.013000000000000012,0.37,0.39,-0.020000000000000018,0.31,0.322,-0.01200000000000001
"Grandal, Yasmani","518735","2022","376","250",0.202,0.217,-0.014999999999999986,0.269,0.319,-0.04999999999999999,0.263,0.29,-0.02699999999999997
"Stassi, Max","545358","2022","375","223",0.18,0.18,0,0.303,0.325,-0.02200000000000002,0.258,0.266,-0.008000000000000007
"Suwinski, Jack","669261","2022","372","213",0.202,0.204,-0.001999999999999974,0.411,0.393,0.01799999999999996,0.311,0.307,0.0040000000000000036
"Wendle, Joey","621563","2022","371","301",0.259,0.25,0.009000000000000008,0.36,0.331,0.02899999999999997,0.289,0.276,0.012999999999999956
"Ortega, Rafael","542364","2022","371","250",0.241,0.241,0,0.358,0.346,0.01200000000000001,0.305,0.307,-0.0020000000000000018
"Bradley Jr., Jackie","598265","2022","370","269",0.203,0.223,-0.01999999999999999,0.311,0.33,-0.019000000000000017,0.252,0.268,-0.016000000000000014
"Davis, J.D.","605204","2022","365","198",0.248,0.242,0.006000000000000005,0.418,0.469,-0.05099999999999999,0.333,0.351,-0.01799999999999996
"Margot, Manuel","622534","2022","363","269",0.274,0.264,0.010000000000000009,0.375,0.357,0.018000000000000016,0.308,0.299,0.009000000000000008
"Cruz, Oneil","665833","2022","361","206",0.233,0.223,0.010000000000000009,0.45,0.41,0.040000000000000036,0.32,0.304,0.016000000000000014
"Rivera, Emmanuel","656896","2022","359","248",0.233,0.238,-0.004999999999999977,0.409,0.41,-0.0010000000000000009,0.306,0.31,-0.0040000000000000036
"Vierling, Matt","663837","2022","357","261",0.246,0.275,-0.029000000000000026,0.351,0.404,-0.05300000000000005,0.285,0.324,-0.039000000000000035
"De La Cruz, Bryan","650559","2022","355","243",0.252,0.287,-0.034999999999999976,0.432,0.498,-0.066,0.313,0.355,-0.04199999999999998
"McCarthy, Jake","664983","2022","354","249",0.283,0.249,0.033999999999999975,0.427,0.357,0.07,0.337,0.298,0.039000000000000035
"Kelly, Carson","608348","2022","354","250",0.211,0.225,-0.014000000000000012,0.334,0.345,-0.010999999999999954,0.275,0.288,-0.012999999999999956
"Trevino, Jose","624431","2022","353","274",0.248,0.239,0.009000000000000008,0.388,0.364,0.02400000000000002,0.293,0.281,0.011999999999999955
"Dalbec, Bobby","666915","2022","353","203",0.215,0.216,-0.0010000000000000009,0.369,0.379,-0.010000000000000009,0.287,0.296,-0.009000000000000008
"Toro, Abraham","647351","2022","352","263",0.185,0.226,-0.04100000000000001,0.324,0.372,-0.04799999999999999,0.246,0.284,-0.03799999999999998
"Pujols, Albert","405395","2022","351","258",0.27,0.262,0.008000000000000007,0.55,0.499,0.051000000000000045,0.38,0.365,0.015000000000000013
